Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,087031,2019,11,13,6.7,1,N
IDCJAC0011,087031,2019,11,14,10.6,1,N
IDCJAC0011,087031,2019,11,15,11.6,1,N
IDCJAC0011,087031,2019,11,16,5.5,1,N
IDCJAC0011,087031,2019,11,17,10.2,1,N
IDCJAC0011,087031,2019,11,18,6.1,1,N
IDCJAC0011,087031,2019,11,19,8.3,1,N
IDCJAC0011,087031,2019,11,20,9.4,1,N
IDCJAC0011,087031,2019,11,21,15.5,1,N
IDCJAC0011,087031,2019,11,22,12.3,1,N
IDCJAC0011,087031,2019,11,23,7.8,1,N
IDCJAC0011,087031,2019,11,24,8.1,1,N
IDCJAC0011,087031,2019,11,25,8.8,1,N
IDCJAC0011,087031,2019,11,26,10.6,1,N
