Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,87031,2019,10,11,18.2,1,N
IDCJAC0010,87031,2019,10,12,19.5,1,N
IDCJAC0010,87031,2019,10,13,23.6,1,N
IDCJAC0010,87031,2019,10,14,26.6,1,N
IDCJAC0010,87031,2019,10,15,17.8,1,N
IDCJAC0010,87031,2019,10,16,20.6,1,N
IDCJAC0010,87031,2019,10,17,16.7,1,N
IDCJAC0010,87031,2019,10,18,22.5,1,N
IDCJAC0010,87031,2019,10,19,16.1,1,N
IDCJAC0010,87031,2019,10,20,17.6,1,N
IDCJAC0010,87031,2019,10,21,16.5,1,N
IDCJAC0010,87031,2019,10,22,20.0,1,N
IDCJAC0010,87031,2019,10,23,27.6,1,N
IDCJAC0010,87031,2019,10,24,34.6,1,N
IDCJAC0010,87031,2019,10,25,23.4,1,N
IDCJAC0010,87031,2019,10,26,15.9,1,N
IDCJAC0010,87031,2019,10,27,18.0,1,N
IDCJAC0010,87031,2019,10,28,20.6,1,N
IDCJAC0010,87031,2019,10,29,31.3,1,N
IDCJAC0010,87031,2019,10,30,28.0,1,N
IDCJAC0010,87031,2019,10,31,34.8,1,N
IDCJAC0010,87031,2019,11,1,34.7,1,N
IDCJAC0010,87031,2019,11,2,19.4,1,N
IDCJAC0010,87031,2019,11,3,19.1,1,N
IDCJAC0010,87031,2019,11,4,15.9,1,N
IDCJAC0010,87031,2019,11,5,17.7,1,N
IDCJAC0010,87031,2019,11,6,24.1,1,N
IDCJAC0010,87031,2019,11,7,18.1,1,N
IDCJAC0010,87031,2019,11,8,15.4,1,N
IDCJAC0010,87031,2019,11,9,14.6,1,N
IDCJAC0010,87031,2019,11,10,18.8,1,N
IDCJAC0010,87031,2019,11,11,30.0,1,N
IDCJAC0010,87031,2019,11,12,17.5,1,N
IDCJAC0010,87031,2019,11,13,17.7,1,N
IDCJAC0010,87031,2019,11,14,23.1,1,N
IDCJAC0010,87031,2019,11,15,19.0,1,N
IDCJAC0010,87031,2019,11,16,18.2,1,N
IDCJAC0010,87031,2019,11,17,16.4,1,N
IDCJAC0010,87031,2019,11,18,28.3,1,N
IDCJAC0010,87031,2019,11,19,18.8,1,N
IDCJAC0010,87031,2019,11,20,34.8,1,N
IDCJAC0010,87031,2019,11,21,42.4,1,N
IDCJAC0010,87031,2019,11,22,19.4,1,N
IDCJAC0010,87031,2019,11,23,23.8,1,N
IDCJAC0010,87031,2019,11,24,24.2,1,N
IDCJAC0010,87031,2019,11,25,29.4,1,N
IDCJAC0010,87031,2019,11,26,17.0,1,N
